"","Country","Year","Debt","RGDP","GDP","dRGDP","GDPI","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2","Infl","Debt1","Debt2","Debtalt","GDP2alt","GDPalt","RGDP2alt","debtgdp","GDP3","GNI","lRGDP","lRGDP1","lRGDP2"
"819","New Zealand",2009,43356,NA,NA,-2.175,NA,NA,178753,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,24.2546978232533,NA,NA,NA,NA,NA
"873","Norway",1999,258785,NA,NA,2.02577059008238,NA,1233039,1240430,1428546,1832542,86.314,67.689,NA,NA,NA,NA,NA,NA,NA,20.8625234797611,NA,NA,NA,1398708,1796156
"874","Norway",2000,285908,NA,NA,3.25356799462169,NA,1469075,1481240,1469075,1892165,100,78.283,NA,NA,NA,NA,NA,NA,NA,19.3019362156031,NA,NA,NA,1428546,1832542
"875","Norway",2001,278681,NA,NA,1.99015413560657,NA,1526233,1536890,1509127,1929822,101.134,79.639,NA,NA,NA,NA,NA,NA,NA,18.1327876425769,NA,NA,NA,1469075,1892165
"876","Norway",2002,291027,NA,NA,1.5020556300011,NA,1522176,1532310,1529905,1958809,99.495,78.227,NA,NA,NA,NA,NA,NA,NA,18.9926973001547,NA,NA,NA,1509127,1929822
"877","Norway",2003,339832,NA,NA,1.01352403424735,NA,1563689,1593830,1534486,1978662,101.903,80.551,NA,NA,NA,NA,NA,NA,NA,21.3217218900385,NA,NA,NA,1529905,1958809
"878","Norway",2004,320754,NA,NA,3.86412636417943,NA,NA,1743040,NA,2055120,NA,84.815,NA,NA,NA,NA,NA,NA,NA,18.4019873324766,NA,NA,NA,1534486,1978662
"879","Norway",2005,334132,NA,NA,2.73920744287439,NA,NA,1945720,NA,2111414,NA,92.152,NA,NA,NA,NA,NA,NA,NA,17.1726661595707,NA,NA,NA,NA,2055120
"880","Norway",2006,269363,NA,NA,2.28088854199129,NA,NA,2159570,NA,2159573,NA,100,NA,NA,NA,NA,NA,NA,NA,12.472992308654,NA,NA,NA,NA,2111414
"881","Norway",2007,265348,NA,NA,3.13409178573727,NA,NA,2277110,NA,2227256,NA,102.238,NA,NA,NA,NA,NA,NA,NA,11.6528406620673,NA,NA,NA,NA,2159573
"882","Norway",2008,349973,NA,NA,2.13213029844797,NA,NA,2548320,NA,2274744,NA,112.027,NA,NA,NA,NA,NA,NA,NA,13.7334793118604,NA,NA,NA,NA,2227256
"883","Norway",2009,515352,NA,NA,-1.90667609190309,NA,NA,2379940,NA,2231372,NA,106.658,NA,NA,NA,NA,NA,NA,NA,21.653991277091,NA,NA,NA,NA,2274744
"931","Portugal",1999,NA,NA,NA,2.02577059008238,NA,22893500,114193,137341,1832542,NA,NA,2.17,6719410,62956.06,NA,NA,NA,NA,29.3507327407343,NA,NA,NA,132300,1796156
"932","Portugal",2000,NA,NA,NA,3.25356799462169,NA,24513000,122270,142770,1892165,NA,NA,2.8,7417901,66175.53,NA,NA,NA,NA,54.122458493498,NA,NA,NA,137341,1832542
"933","Portugal",2001,NA,NA,NA,1.99015413560657,NA,25924000,129308,145636,1929822,NA,NA,4.41,7831943,72450.09,NA,NA,NA,NA,56.0290855940854,NA,NA,NA,142770,1892165
"934","Portugal",2002,NA,NA,NA,1.5020556300011,NA,27152000,135434,146782,1958809,NA,NA,3.68,7791675,79474.75,NA,NA,NA,NA,58.6815349173767,NA,NA,NA,145636,1929822
"935","Portugal",2003,NA,NA,NA,1.01352403424735,NA,27783200,138582,145636,1978662,NA,NA,3.26,8391725,83377,NA,NA,NA,NA,60.1643792123075,NA,NA,NA,146782,1958809
"936","Portugal",2004,NA,NA,NA,3.86412636417943,NA,28895100,144128,147841,2055120,NA,NA,2.51,NA,90739.07,NA,NA,NA,NA,62.9572810279751,NA,NA,NA,145636,1978662
"937","Portugal",2005,NA,NA,NA,2.73920744287439,NA,29896600,149124,148905,2111414,NA,NA,2.13,NA,101758,NA,NA,NA,NA,68.2371717496848,NA,NA,NA,147841,2055120
"938","Portugal",2006,NA,NA,NA,2.28088854199129,NA,31164200,155446,150708,2159573,NA,NA,3.04,NA,108557.15,NA,NA,NA,NA,69.8359237291407,NA,NA,NA,148905,2111414
"939","Portugal",2007,NA,NA,NA,3.13409178573727,NA,32714500,163179,NA,2227256,NA,NA,2.42,NA,112804.13,NA,NA,NA,NA,69.1290729812047,NA,NA,NA,150708,2159573
"940","Portugal",2008,NA,NA,NA,2.13213029844797,NA,33325400,166228,NA,2274744,NA,NA,2.65,NA,118462.7,NA,NA,NA,NA,71.2651899800274,NA,NA,NA,NA,2227256
"941","Portugal",2009,NA,NA,NA,-1.90667609190309,NA,NA,160077,NA,2231372,NA,NA,-0.58,NA,128224,NA,NA,NA,NA,80.1014511766213,NA,NA,NA,NA,2274744
"973","Spain",1999,294737,NA,NA,4.74529072551599,NA,NA,579942,NA,520582,NA,111.403,NA,NA,NA,NA,NA,NA,NA,50.8218063185629,NA,NA,NA,NA,496998
"974","Spain",2000,305300,NA,NA,5.05280628219953,NA,NA,630263,NA,546886,NA,115.246,NA,NA,NA,NA,NA,NA,NA,48.4400956426127,NA,NA,NA,NA,520582
"975","Spain",2001,306922,NA,NA,3.64500096912337,NA,NA,680678,NA,566820,NA,120.087,NA,NA,NA,NA,NA,NA,NA,45.0906302245702,NA,NA,NA,NA,546886
"976","Spain",2002,311961,NA,NA,2.70385660350729,NA,NA,729206,NA,582146,NA,125.262,NA,NA,NA,NA,NA,NA,NA,42.7809151323494,NA,NA,NA,NA,566820
"977","Spain",2003,309135,NA,NA,3.09767652788133,NA,NA,782929,NA,600179,NA,130.449,NA,NA,NA,NA,NA,NA,NA,39.4844232363343,NA,NA,NA,NA,582146
"978","Spain",2004,319154,NA,NA,3.26652548656317,NA,NA,841042,NA,619784,NA,135.699,NA,NA,NA,NA,NA,NA,NA,37.9474509001929,NA,NA,NA,NA,600179
"979","Spain",2005,319162,NA,NA,3.61545312560505,NA,NA,908792,NA,642192,NA,141.514,NA,NA,NA,NA,NA,NA,NA,35.1193672479511,NA,NA,NA,NA,619784
"980","Spain",2006,312457,NA,NA,4.01733437974936,NA,NA,984284,NA,667991,NA,147.35,NA,NA,NA,NA,NA,NA,NA,31.7445981037993,NA,NA,NA,NA,642192
"981","Spain",2007,307168,NA,NA,3.56531749679263,NA,NA,1052730,NA,691807,NA,152.171,NA,NA,NA,NA,NA,NA,NA,29.1782318353234,NA,NA,NA,NA,667991
"982","Spain",2008,358425,NA,NA,0.855729994059029,NA,NA,1088500,NA,697727,NA,156.007,NA,NA,NA,NA,NA,NA,NA,32.9283417547083,NA,NA,NA,NA,691807
"983","Spain",2009,445558,NA,NA,-3.76723274289228,NA,NA,1047320,NA,671442,NA,155.981,NA,NA,NA,NA,NA,NA,NA,42.5426803651224,NA,NA,NA,NA,697727
"1037","Sweden",1999,1374179,NA,NA,4.59540284999616,NA,1988329.29678,2123970,46328.09241,2155182,4291.84366,98.55177,NA,NA,NA,NA,NA,NA,NA,64.6986068541458,NA,NA,NA,44334.55556,2060494
"1038","Sweden",2000,1279205,NA,NA,4.39893243354854,NA,2105179.93871,2249990,48302.71656,2249987,4358.30547,100.00013,NA,NA,NA,NA,NA,NA,NA,56.8538082391477,NA,NA,NA,46328.09241,2155182
"1039","Sweden",2001,1156827,NA,NA,1.05773944471679,NA,NA,2326180,NA,2273786,NA,102.30426,NA,NA,NA,NA,NA,NA,NA,49.7307603022982,NA,NA,NA,48302.71656,2249987
"1040","Sweden",2002,1160329,NA,NA,2.41130871594777,NA,NA,2420760,NA,2328614,NA,103.95712,NA,NA,NA,NA,NA,NA,NA,47.9324261802079,NA,NA,NA,NA,2273786
"1041","Sweden",2003,1228740.5,NA,NA,1.91259693534438,NA,NA,2515150,NA,2373151,NA,105.98356,NA,NA,NA,NA,NA,NA,NA,48.8535673816671,NA,NA,NA,NA,2328614
"1042","Sweden",2004,1257326,NA,NA,4.12704459176849,NA,NA,2624960,NA,2471092,NA,106.22672,NA,NA,NA,NA,NA,NA,NA,47.8988632207729,NA,NA,NA,NA,2373151
"1043","Sweden",2005,1308572,NA,NA,3.29833935766051,NA,NA,2735220,NA,2552597,NA,107.1544,NA,NA,NA,NA,NA,NA,NA,47.8415630186969,NA,NA,NA,NA,2471092
"1044","Sweden",2006,1269957,NA,NA,4.24645958606078,NA,NA,2900790,NA,2660992,NA,109.0116,NA,NA,NA,NA,NA,NA,NA,43.7796944970163,NA,NA,NA,NA,2552597
"1045","Sweden",2007,1167998,NA,NA,2.55972208860455,NA,NA,3063870,NA,2729106,NA,112.26643,NA,NA,NA,NA,NA,NA,NA,38.1216565977016,NA,NA,NA,NA,2660992
"1046","Sweden",2008,1118877,NA,NA,-0.155069095887073,NA,NA,3156880,NA,2724874,NA,115.85416,NA,NA,NA,NA,NA,NA,NA,35.442493854692,NA,NA,NA,NA,2729106
"1047","Sweden",2009,1088724.87227,NA,NA,-4.82778286262043,NA,NA,3089170,NA,2593323,NA,119.12014,NA,NA,NA,NA,NA,NA,NA,35.2432812784664,NA,NA,NA,NA,2724874
"1101","UK",1999,421632,1019735,928730,3.47324115733441,91.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3987703638302,NA,NA,985506,NA,NA
"1102","UK",2000,426240,1059658,976533,3.91503674974381,92.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6482945276811,NA,NA,1019735,NA,NA
"1103","UK",2001,425956,1085745,1021828,2.46183202504959,94.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6856848706436,NA,NA,1059658,NA,NA
"1104","UK",2002,434544,1108508,1075564,2.09653279545381,97.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.401500979951,NA,NA,1085745,NA,NA
"1105","UK",2003,448006,1139746,1139746,2.81802206208706,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3075299233338,NA,NA,1108508,NA,NA
"1106","UK",2004,497145,1171178,1202960,2.75780744130709,102.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3268105340161,NA,NA,1139746,NA,NA
"1107","UK",2005,484000,1195276,1254060,2.05758646422662,104.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5946445943575,NA,NA,1171178,NA,NA
"1108","UK",2006,531000,1229196,1325800,2.83783829006856,107.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0512897872982,NA,NA,1195276,NA,NA
"1109","UK",2007,574000,1266347,1398880,3.02238210993202,110.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0328262610088,NA,NA,1229196,NA,NA
"1110","UK",2008,613900,1275299,1446110,0.70691524518951,113.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.451819017917,NA,NA,1266347,NA,NA
"1111","UK",2009,769900,NA,1400980,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9543890705078,NA,NA,1275299,NA,NA
"1165","US",1999,5656.270901615,10779.8,9353.5,4.82617785773325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4722392859892,NA,NA,10283.5,NA,NA
"1166","US",2000,5674.178209887,11226,9951.5,4.13922336221453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0183209555042,NA,NA,10779.8,NA,NA
"1167","US",2001,5807.4634122,11347.2,10286.2,1.07963655799039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4587837316016,NA,NA,11226,NA,NA
"1168","US",2002,6228.235965597,11553,10642.3,1.81366328257191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5234015729401,NA,NA,11347.2,NA,NA
"1169","US",2003,6783.231062744,11840.7,11142.1,2.49026226954039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8792872326043,NA,NA,11553,NA,NA
"1170","US",2004,7379.05269633,12263.8,11867.8,3.57326847230315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1770900784476,NA,NA,11840.7,NA,NA
"1171","US",2005,7932.709661724,12638.4,12638.4,3.05451817544318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7667241242879,NA,NA,12263.8,NA,NA
"1172","US",2006,8506.973899215,12976.2,13398.925,2.67280668439043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4899732569217,NA,NA,12638.4,NA,NA
"1173","US",2007,9007.653,13254.1,14077.65,2.14161310707295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9854876346549,NA,NA,12976.2,NA,NA
"1174","US",2008,10699.805,13312.175,14441.425,0.438166303257104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.0910609583196,NA,NA,13254.1,NA,NA
"1175","US",2009,11909.829,12948.73,14266.201,-2.73016993842103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.4828347084133,NA,NA,13312.175,NA,NA
